id,observed_on,place_guess,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name
25165149,2015-02-11,United States,24.6825984154,-82.8311736444,Monroe,Florida,Crocodylus acutus,American Crocodile
25202414,2015-03-28,"Everglades National Park, Monroe County, US-FL, US",25.1487277399,-80.8935274366,Monroe,Florida,Crocodylus acutus,American Crocodile
25336988,2018-06-27,"Florida, US",25.097103569,-80.3350435601,Monroe,Florida,Crocodylus acutus,American Crocodile
25358149,2019-03-12,"Florida, US",25.195408247,-80.3083029577,Monroe,Florida,Crocodylus acutus,American Crocodile
25423907,2019-04-15,"Everglades National Park, Monroe County, US-FL, US",25.0293981806,-80.918470333,Monroe,Florida,Crocodylus acutus,American Crocodile
25474905,2019-05-15,"Everglades National Park, Monroe County, US-FL, US",25.0017010776,-80.9196675269,Monroe,Florida,Crocodylus acutus,American Crocodile
25495860,2019-05-20,"Everglades National Park, Monroe County, US-FL, US",25.1787145882,-80.8344494935,Monroe,Florida,Crocodylus acutus,American Crocodile
25502738,2019-05-20,"Everglades National Park, Monroe County, US-FL, US",25.1134992025,-80.912596447,Monroe,Florida,Crocodylus acutus,American Crocodile
25599059,2019-05-05,"Everglades National Park, Monroe County, US-FL, US",25.1516355776,-80.8937138914,Monroe,Florida,Crocodylus acutus,American Crocodile
25860706,2019-05-26,"Everglades National Park, Monroe County, US-FL, US",25.0756904356,-80.8060227067,Monroe,Florida,Crocodylus acutus,American Crocodile
25914111,2019-05-25,"Everglades National Park, Monroe County, US-FL, US",25.027566931,-80.8577977588,Monroe,Florida,Crocodylus acutus,American Crocodile
26372665,2019-06-03,"Everglades National Park, Monroe County, US-FL, US",25.0030312643,-80.8020428695,Monroe,Florida,Crocodylus acutus,American Crocodile
26685344,2008-01-03,"Everglades National Park, Monroe County, US-FL, US",25.0054152627,-80.8681910209,Monroe,Florida,Crocodylus acutus,American Crocodile
26724885,2019-02-07,"Everglades National Park, Monroe County, US-FL, US",25.1622943726,-80.8865142006,Monroe,Florida,Crocodylus acutus,American Crocodile
26775646,2019-06-03,"Everglades National Park, Monroe County, US-FL, US",25.1883584411,-80.9233010003,Monroe,Florida,Crocodylus acutus,American Crocodile
26782265,2019-06-10,"Florida, US",25.6339868388,-80.396973249,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
26832675,2019-06-11,"Florida, US",25.7333369178,-80.3724299534,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
26868936,2019-06-11,"Everglades National Park, Monroe County, US-FL, US",25.1324288042,-80.9245508962,Monroe,Florida,Crocodylus acutus,American Crocodile
27083261,2019-06-15,"Everglades National Park, Monroe County, US-FL, US",25.1509065645,-80.9871341708,Monroe,Florida,Crocodylus acutus,American Crocodile
27085861,2016-05-20,"Everglades National Park, Monroe County, US-FL, US",25.0161842852,-80.8984324557,Monroe,Florida,Crocodylus acutus,American Crocodile
27398047,2019-03-27,"Everglades National Park, Monroe County, US-FL, US",25.121811866,-80.8483484528,Monroe,Florida,Crocodylus acutus,American Crocodile
27566226,2016-03-03,"Everglades National Park, Monroe County, US-FL, US",25.1723191314,-80.8878042038,Monroe,Florida,Crocodylus acutus,American Crocodile
27693192,2019-06-21,"Florida, US",25.7646505885,-80.356637045,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
27810026,2014-07-10,"Everglades National Park, Monroe County, US-FL, US",25.1105248887,-80.8380881276,Monroe,Florida,Crocodylus acutus,American Crocodile
27994041,2019-07-01,United States,25.6408035678,-80.0419985565,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
28151004,2019-07-03,"Everglades National Park, Monroe County, US-FL, US",25.1970513917,-80.9871840765,Monroe,Florida,Crocodylus acutus,American Crocodile
28151021,2019-07-03,"Everglades National Park, Monroe County, US-FL, US",25.1898802724,-80.8181819575,Monroe,Florida,Crocodylus acutus,American Crocodile
28377998,2019-03-08,"Everglades National Park, US-FL, US",25.2393880789,-80.8834879187,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
28420497,2017-04-21,"Everglades National Park, Monroe County, US-FL, US",25.1090936548,-80.8481387321,Monroe,Florida,Crocodylus acutus,American Crocodile
28420498,2017-04-21,"Everglades National Park, Monroe County, US-FL, US",25.1457715587,-80.9559072214,Monroe,Florida,Crocodylus acutus,American Crocodile
28458320,2016-03-06,"Everglades National Park, US-FL, US",25.2457630376,-80.8179581711,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
28543010,2015-03-10,"Everglades National Park, US-FL, US",25.2172597653,-80.690628414,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
28543011,2015-03-10,"Everglades National Park, US-FL, US",25.3004460839,-80.7813779582,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
28768906,2018-12-26,United States,25.6937045888,-80.1186561706,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
28816785,2016-12-21,"Everglades National Park, Monroe County, US-FL, US",25.1462857526,-80.8809865876,Monroe,Florida,Crocodylus acutus,American Crocodile
28849414,2019-07-13,"Everglades National Park, Monroe County, US-FL, US",25.1098566143,-80.8935547992,Monroe,Florida,Crocodylus acutus,American Crocodile
28850456,2019-07-13,"Everglades National Park, Monroe County, US-FL, US",25.1969593984,-80.9151154356,Monroe,Florida,Crocodylus acutus,American Crocodile
28869431,2018-03-25,"Everglades National Park, Monroe County, US-FL, US",25.0333907083,-80.9127767188,Monroe,Florida,Crocodylus acutus,American Crocodile
28877133,2019-03-11,"Everglades National Park, Monroe County, US-FL, US",25.0109326501,-80.9934042831,Monroe,Florida,Crocodylus acutus,American Crocodile
28893821,2016-03-03,"Everglades National Park, Monroe County, US-FL, US",25.0306777123,-80.9975903885,Monroe,Florida,Crocodylus acutus,American Crocodile
29274537,2008-03-06,"Everglades National Park, Monroe County, US-FL, US",25.15119957,-80.9014999692,Monroe,Florida,Crocodylus acutus,American Crocodile
29502047,2019-07-18,"Florida, US",25.186309171,-80.2857966538,Monroe,Florida,Crocodylus acutus,American Crocodile
29528744,2014-12-30,"Everglades National Park, Monroe County, US-FL, US",25.0434524646,-80.9707910774,Monroe,Florida,Crocodylus acutus,American Crocodile
29845772,2019-02-23,United States,25.6076923088,-80.0189187976,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
29845773,2019-01-04,"Monroe County, US-FL, US",25.0849845238,-80.5702569914,Monroe,Florida,Crocodylus acutus,American Crocodile
30018624,2019-07-09,"Florida, US",25.2176051055,-80.2460979754,Monroe,Florida,Crocodylus acutus,American Crocodile
30022889,2019-07-26,"Everglades National Park, US-FL, US",25.3558764794,-80.6036955089,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
30385696,2019-08-04,"Everglades National Park, Monroe County, US-FL, US",25.1544632219,-80.8622506965,Monroe,Florida,Crocodylus acutus,American Crocodile
30593934,2018-04-19,"Florida, US",25.6134722198,-80.2015472956,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
30614983,2018-12-10,"Florida, US",25.7385644154,-80.2964004055,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
30780679,2014-02-04,"Everglades National Park, Monroe County, US-FL, US",25.0458996533,-80.9015526576,Monroe,Florida,Crocodylus acutus,American Crocodile
31386609,2019-08-19,"Florida, US",25.1585547995,-80.3841665359,Monroe,Florida,Crocodylus acutus,American Crocodile
31397932,2019-08-23,"Everglades National Park, Monroe County, US-FL, US",25.1289489559,-80.9536993429,Monroe,Florida,Crocodylus acutus,American Crocodile
31482423,2019-01-30,"Everglades National Park, Monroe County, US-FL, US",25.119852832,-80.8830337518,Monroe,Florida,Crocodylus acutus,American Crocodile
31609726,2019-08-27,United States,25.795007162,-80.2374119679,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
31796315,2018-07-20,"Everglades National Park, Monroe County, US-FL, US",25.0907642549,-80.8318403076,Monroe,Florida,Crocodylus acutus,American Crocodile
32508931,2019-09-10,Lettuce Lake Conservation Park,28.0733598079,-82.3778224746,Hillsborough,Florida,Alligator mississippiensis,American Alligator
32802318,2019-02-05,United States,25.6422899285,-80.1811107531,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
32870046,2017-03-16,"Everglades National Park, Monroe County, US-FL, US",25.0008627662,-80.8920568144,Monroe,Florida,Crocodylus acutus,American Crocodile
32896889,2016-11-08,"Florida, US",25.6402595822,-80.6781366335,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
32900686,2016-12-27,"Florida, US",25.6358488908,-80.3657378284,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
33040200,2019-09-18,"Everglades National Park, Monroe County, US-FL, US",25.0805984773,-80.8340807347,Monroe,Florida,Crocodylus acutus,American Crocodile
33428544,2019-09-25,"Everglades National Park, Monroe County, US-FL, US",25.0425856035,-80.9520645549,Monroe,Florida,Crocodylus acutus,American Crocodile
33578505,2006-11-05,"Monroe County, US-FL, US",25.3084661394,-80.9693133897,Monroe,Florida,Crocodylus acutus,American Crocodile
33665772,2019-09-29,"Everglades National Park, Monroe County, US-FL, US",25.0501371327,-80.8336855927,Monroe,Florida,Crocodylus acutus,American Crocodile
34253572,2019-10-12,United States,25.6652432628,-80.3730299625,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
34253619,2019-10-12,United States,25.6894263055,-80.358089533,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
