id,observed_on,place_guess,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name
159262782,2023-05-01,"Homestead, FL, US",25.4484904876,-80.4378452689,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
161145937,2023-05-11,"Florida, US",27.5711253512,-80.5453021348,St. Lucie,Florida,Salvator merianae,Argentine Black-and-white Tegu
161145938,2023-05-11,"Florida, US",27.5527669219,-80.4541100092,St. Lucie,Florida,Salvator merianae,Argentine Black-and-white Tegu
161888003,2023-04-14,"Miami-Dade County, US-FL, US",25.590768549,-80.4514880889,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
169606187,2023-06-23,"Homestead, FL, US",25.3605916667,-80.5539333333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
174562518,2023-07-03,"Homestead, FL 33030, USA",25.5060039551,-80.5410165712,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
175795718,2023-06-04,"SW 192nd Ave, Homestead, FL, US",25.3931116667,-80.5008083333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
177265407,2023-08-07,"SE 12th Ave, Homestead, FL, US",25.4482666667,-80.4600616667,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
185039682,2023-09-26,"Homestead, FL, USA",25.4489519,-80.4432687997,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
186453778,2022-03-10,"Florida City, FL 33034, USA",25.3991749808,-80.57014402,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
186480339,2023-09-27,"Everglades National Park, Homestead, FL, US",25.38378,-80.6186533333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
192674494,2016-05-29,"Miami-Dade County, FL, USA",25.45303333,-80.54208333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
201067010,2024-03-02,"SW 344th St, Homestead, FL, US",25.44683,-80.50177,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
202120800,2024-03-11,"Miami-Dade County, FL, USA",25.3418861111,-80.4135194444,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
202359737,2024-03-13,"Florida City, FL, USA",25.4334222222,-80.4730055556,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
203089383,2024-03-19,"Busway & SW 344 St, Florida City, FL 33034, USA",25.4478855292,-80.4792238399,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
204511065,2024-03-29,"SW 192nd Ave, Homestead, FL, US",25.4268283333,-80.5016166667,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
204633325,2023-04-30,"Miami-Dade County, FL, USA",25.4350705732,-80.4163865747,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
205572338,2024-04-04,"SW 209th Ave, Homestead, FL, US",25.4045658103,-80.5288427141,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
206256239,2024-03-20,"SW 192nd Ave, Homestead, FL, US",25.4535966667,-80.501555,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
206514821,2019-10-17,"Homestead, FL, US",25.461275,-80.5623633333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
209162367,2024-04-24,"SW 344th St, Homestead, FL, US",25.4474966667,-80.5020616667,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
212053122,2024-04-23,"Miami-Dade County, FL, USA",25.4045916111,-80.5580266667,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
215937665,2024-05-15,"SW 167th Ave, Miami, FL, US",25.7195201329,-80.4633157392,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
217222458,2024-05-21,"Miami-Dade County, US-FL, US",25.4171867597,-80.4625753686,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
217615464,2024-05-22,"Florida City, FL 33034, USA",25.4313710913,-80.4717357829,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
218194048,2024-05-25,"Homestead, FL, USA",25.4483417672,-80.4575348273,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
220059047,2024-05-31,"Miami-Dade County, FL, USA",25.4858916667,-80.3635027778,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
220349451,2021-09-03,"Jacksonville University, Jacksonville, FL, US",30.3582242614,-81.6100492865,Duval,Florida,Salvator merianae,Argentine Black-and-white Tegu
220498518,2024-06-04,"SW 344th St, Homestead, FL, US",25.4474916667,-80.5020833333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
220953075,2024-06-06,"SW 192nd Ave, Homestead, FL, US",25.39355,-80.5011883333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
221381205,2024-06-08,"SW 344th St, Homestead, FL, US",25.447475,-80.5020216667,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
221496932,2024-06-06,"Miami-Dade County, FL, USA",25.4706555556,-80.3763805556,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
221496979,2024-06-04,"Miami-Dade County, FL, USA",25.4696444444,-80.3672638889,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
223756064,2024-06-18,"Biscayne National Park, Homestead, FL, US",25.47003,-80.3406666667,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
224580146,2024-06-19,"Punta Gorda, FL, US",26.9624216667,-81.8839716667,Charlotte,Florida,Salvator merianae,Argentine Black-and-white Tegu
225302956,2024-06-23,"Ingraham Hwy, Homestead, FL, US",25.4040333333,-80.5284416667,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
226561692,2024-07-01,"Homestead, FL, USA",25.4416705895,-80.4530598968,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
227379373,2024-07-04,"Florida City, FL 33034, USA",25.4474358997,-80.5020494,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
