common_name,observed_on,latitude,longitude,place_county_name,place_state_name,year,month,month_name
American Crocodile,2009-02-19,25.004839,-80.949531,Monroe,Florida,2009,2,Feb
American Crocodile,2018-03-14,25.05342,-80.939083,Monroe,Florida,2018,3,Mar
American Crocodile,2007-01-11,25.055944,-80.86343,Monroe,Florida,2007,1,Jan
American Crocodile,2014-03-05,25.728138,-80.244915,Miami-Dade,Florida,2014,3,Mar
American Crocodile,2013-03-13,25.114733,-80.919904,Monroe,Florida,2013,3,Mar
American Crocodile,2013-11-25,25.17839,-80.98272,Monroe,Florida,2013,11,Nov
American Crocodile,2013-11-25,25.133627,-80.934517,Monroe,Florida,2013,11,Nov
American Crocodile,2018-03-28,25.111627,-80.965915,Monroe,Florida,2018,3,Mar
American Crocodile,2016-03-04,25.745105,-80.296768,Miami-Dade,Florida,2016,3,Mar
American Crocodile,2016-11-03,25.122874,-80.83833,Monroe,Florida,2016,11,Nov
American Crocodile,2018-04-21,25.007522,-80.878098,Monroe,Florida,2018,4,Apr
American Crocodile,2016-12-26,25.049471,-80.982171,Monroe,Florida,2016,12,Dec
American Crocodile,2018-03-13,25.700916,-80.209437,Miami-Dade,Florida,2018,3,Mar
American Crocodile,2008-11-28,25.009999,-80.952539,Monroe,Florida,2008,11,Nov
American Crocodile,2017-12-03,25.760171,-80.224201,Miami-Dade,Florida,2017,12,Dec
American Crocodile,2017-04-19,25.136382,-80.878947,Monroe,Florida,2017,4,Apr
American Crocodile,2018-03-06,25.639071,-80.325771,Miami-Dade,Florida,2018,3,Mar
American Crocodile,2016-04-29,24.659651,-82.9886,Monroe,Florida,2016,4,Apr
American Crocodile,2018-04-28,25.036674,-80.899191,Monroe,Florida,2018,4,Apr
American Crocodile,2016-04-30,25.303972,-80.617644,Miami-Dade,Florida,2016,4,Apr
American Crocodile,2007-03-05,25.053766,-80.948087,Monroe,Florida,2007,3,Mar
American Crocodile,2008-11-28,25.102839,-80.912482,Monroe,Florida,2008,11,Nov
American Crocodile,2018-04-30,25.127733,-80.929376,Monroe,Florida,2018,4,Apr
American Crocodile,2015-01-06,25.662921,-80.399194,Miami-Dade,Florida,2015,1,Jan
American Crocodile,2017-03-14,25.095799,-80.938632,Monroe,Florida,2017,3,Mar
American Crocodile,2017-03-14,25.030813,-80.922207,Monroe,Florida,2017,3,Mar
American Crocodile,2017-03-14,25.051475,-80.984204,Monroe,Florida,2017,3,Mar
American Crocodile,2018-03-21,25.710317,-80.673664,Miami-Dade,Florida,2018,3,Mar
American Crocodile,2018-04-29,25.668066,-80.756539,Miami-Dade,Florida,2018,4,Apr
American Crocodile,2018-05-04,25.041679,-80.953048,Monroe,Florida,2018,5,May
American Crocodile,2018-05-04,25.487756,-80.244686,Miami-Dade,Florida,2018,5,May
American Crocodile,2018-05-23,25.001273,-80.916823,Monroe,Florida,2018,5,May
American Crocodile,2016-01-05,25.03302,-80.867879,Monroe,Florida,2016,1,Jan
American Crocodile,2018-07-13,25.079538,-80.847548,Monroe,Florida,2018,7,Jul
American Crocodile,2018-07-18,25.023851,-80.877052,Monroe,Florida,2018,7,Jul
American Crocodile,2006-12-10,25.135606,-80.834044,Monroe,Florida,2006,12,Dec
American Crocodile,2006-12-11,25.060848,-80.91857,Monroe,Florida,2006,12,Dec
American Crocodile,2015-02-10,24.684421,-82.951134,Monroe,Florida,2015,2,Feb
American Crocodile,2018-07-21,25.198532,-80.947745,Monroe,Florida,2018,7,Jul
American Crocodile,2012-01-01,25.175672,-80.921013,Monroe,Florida,2012,1,Jan
American Crocodile,2013-03-03,25.111386,-80.974651,Monroe,Florida,2013,3,Mar
American Crocodile,2017-01-09,25.14882,-80.934779,Monroe,Florida,2017,1,Jan
American Crocodile,2018-04-04,25.025617,-80.842678,Monroe,Florida,2018,4,Apr
American Crocodile,2018-08-06,25.06253,-80.927763,Monroe,Florida,2018,8,Aug
American Crocodile,2018-07-16,25.177527,-81.07158,Monroe,Florida,2018,7,Jul
American Crocodile,2018-03-10,25.516491,-80.387189,Miami-Dade,Florida,2018,3,Mar
American Crocodile,2009-03-19,25.129831,-80.880651,Monroe,Florida,2009,3,Mar
American Crocodile,2018-08-25,25.083378,-80.885146,Monroe,Florida,2018,8,Aug
American Crocodile,2017-11-17,25.763012,-80.24567,Miami-Dade,Florida,2017,11,Nov
American Crocodile,2007-03-19,25.359442,-80.868166,Monroe,Florida,2007,3,Mar
American Crocodile,2018-09-02,25.797006,-80.368406,Miami-Dade,Florida,2018,9,Sep
American Crocodile,2011-03-16,25.382295,-80.934704,Monroe,Florida,2011,3,Mar
American Crocodile,2017-03-23,25.047548,-80.8917,Monroe,Florida,2017,3,Mar
American Crocodile,2016-03-06,25.15813,-80.952184,Monroe,Florida,2016,3,Mar
American Crocodile,2018-08-07,24.752992,-81.43217,Monroe,Florida,2018,8,Aug
American Crocodile,2018-09-23,28.075624,-82.375861,Hillsborough,Florida,2018,9,Sep
American Crocodile,2015-04-22,24.758349,-82.972014,Monroe,Florida,2015,4,Apr
American Crocodile,2012-02-21,25.156375,-80.9409,Monroe,Florida,2012,2,Feb
American Crocodile,2011-03-16,25.234966,-80.921723,Monroe,Florida,2011,3,Mar
American Crocodile,2017-11-11,25.193744,-80.806164,Monroe,Florida,2017,11,Nov
American Crocodile,2016-10-17,28.085644,-82.337333,Hillsborough,Florida,2016,10,Oct
American Crocodile,2017-04-07,25.294307,-80.802102,Monroe,Florida,2017,4,Apr
American Crocodile,2018-10-06,28.073871,-82.375376,Hillsborough,Florida,2018,10,Oct
American Crocodile,2018-10-06,28.074604,-82.372744,Hillsborough,Florida,2018,10,Oct
American Crocodile,2018-10-17,28.073871,-82.375376,Hillsborough,Florida,2018,10,Oct
American Crocodile,2018-03-14,25.152681,-80.946958,Monroe,Florida,2018,3,Mar
American Crocodile,2018-09-14,29.644225,-82.361166,Alachua,Florida,2018,9,Sep
American Crocodile,2018-11-02,29.717695,-82.269643,Alachua,Florida,2018,11,Nov
American Crocodile,2018-09-24,25.007827,-80.313463,Monroe,Florida,2018,9,Sep
American Crocodile,2018-11-18,25.03416,-80.971609,Monroe,Florida,2018,11,Nov
American Crocodile,2018-11-19,25.115839,-80.943377,Monroe,Florida,2018,11,Nov
American Crocodile,2011-12-16,25.114628,-80.955088,Monroe,Florida,2011,12,Dec
American Crocodile,2011-12-16,25.141628,-80.811587,Monroe,Florida,2011,12,Dec
American Crocodile,2018-11-19,25.037414,-80.989769,Monroe,Florida,2018,11,Nov
American Crocodile,2018-11-25,25.690453,-80.741725,Miami-Dade,Florida,2018,11,Nov
American Crocodile,2016-05-28,25.620862,-80.367839,Miami-Dade,Florida,2016,5,May
American Crocodile,2016-05-30,24.720392,-82.975818,Monroe,Florida,2016,5,May
American Crocodile,2018-11-19,25.397559,-80.270636,Monroe,Florida,2018,11,Nov
American Crocodile,2018-12-15,25.475183,-80.384046,Miami-Dade,Florida,2018,12,Dec
American Crocodile,2018-12-29,25.624936,-80.21106,Miami-Dade,Florida,2018,12,Dec
American Crocodile,2018-12-28,25.260463,-80.735653,Miami-Dade,Florida,2018,12,Dec
American Crocodile,2018-12-29,25.210493,-80.379261,Monroe,Florida,2018,12,Dec
American Crocodile,2018-12-29,25.04797,-80.929373,Monroe,Florida,2018,12,Dec
American Crocodile,2018-12-29,25.114156,-80.930281,Monroe,Florida,2018,12,Dec
American Crocodile,2018-12-29,25.020002,-80.987624,Monroe,Florida,2018,12,Dec
American Crocodile,2018-12-29,25.086473,-80.952723,Monroe,Florida,2018,12,Dec
American Crocodile,2018-12-26,25.012352,-80.915344,Monroe,Florida,2018,12,Dec
American Crocodile,2018-12-29,25.155035,-80.89905,Monroe,Florida,2018,12,Dec
American Crocodile,2018-12-31,25.185723,-80.95328,Monroe,Florida,2018,12,Dec
American Crocodile,2018-12-28,25.070007,-80.988494,Monroe,Florida,2018,12,Dec
American Crocodile,2018-12-15,25.739868,-80.081598,Miami-Dade,Florida,2018,12,Dec
American Crocodile,2019-01-03,25.646992,-80.227396,Miami-Dade,Florida,2019,1,Jan
American Crocodile,2019-01-04,25.090444,-80.997881,Monroe,Florida,2019,1,Jan
American Crocodile,2018-12-28,25.040868,-80.828051,Monroe,Florida,2018,12,Dec
American Crocodile,2018-12-15,25.094709,-80.820212,Monroe,Florida,2018,12,Dec
American Crocodile,2018-12-27,25.676524,-80.219947,Miami-Dade,Florida,2018,12,Dec
American Crocodile,2019-01-12,25.093442,-80.829232,Monroe,Florida,2019,1,Jan
American Crocodile,2018-11-11,25.510453,-81.155795,Monroe,Florida,2018,11,Nov
American Crocodile,2008-12-15,25.168858,-81.079935,Monroe,Florida,2008,12,Dec
American Crocodile,2005-04-03,25.09532,-80.965012,Monroe,Florida,2005,4,Apr
American Crocodile,2019-01-19,25.542008,-80.374535,Miami-Dade,Florida,2019,1,Jan
American Crocodile,2019-01-19,25.49078,-80.32325,Miami-Dade,Florida,2019,1,Jan
American Crocodile,2018-11-14,25.006589,-80.853205,Monroe,Florida,2018,11,Nov
American Crocodile,2016-03-16,25.197486,-80.862405,Monroe,Florida,2016,3,Mar
American Crocodile,2019-01-21,25.067927,-80.837367,Monroe,Florida,2019,1,Jan
American Crocodile,2019-01-29,25.160473,-80.326889,Monroe,Florida,2019,1,Jan
American Crocodile,2019-01-23,25.074068,-80.944927,Monroe,Florida,2019,1,Jan
American Crocodile,2019-01-25,28.073,-82.378,Hillsborough,Florida,2019,1,Jan
American Crocodile,2014-11-29,25.371671,-80.871006,Miami-Dade,Florida,2014,11,Nov
American Crocodile,2019-02-02,28.151536,-82.227647,Hillsborough,Florida,2019,2,Feb
American Crocodile,2018-12-30,25.053735,-80.823912,Monroe,Florida,2018,12,Dec
American Crocodile,2019-01-21,25.080101,-80.808983,Monroe,Florida,2019,1,Jan
American Crocodile,2019-02-09,25.770047,-80.147666,Miami-Dade,Florida,2019,2,Feb
American Crocodile,2018-12-30,25.083573,-80.935843,Monroe,Florida,2018,12,Dec
American Crocodile,2019-02-09,25.145131,-80.833465,Monroe,Florida,2019,2,Feb
American Crocodile,2019-02-16,28.076531,-82.374525,Hillsborough,Florida,2019,2,Feb
American Crocodile,2019-02-16,25.128723,-80.960384,Monroe,Florida,2019,2,Feb
American Crocodile,2017-12-13,25.172005,-80.851007,Monroe,Florida,2017,12,Dec
American Crocodile,2019-02-21,25.738256,-80.658755,Miami-Dade,Florida,2019,2,Feb
American Crocodile,2019-02-19,28.072042,-82.372707,Hillsborough,Florida,2019,2,Feb
American Crocodile,2019-02-24,25.666049,-80.144304,Miami-Dade,Florida,2019,2,Feb
American Crocodile,2019-01-16,24.842616,-80.701468,Monroe,Florida,2019,1,Jan
American Crocodile,2018-01-20,25.002782,-80.928524,Monroe,Florida,2018,1,Jan
American Crocodile,2018-12-22,25.0207,-81.114549,Monroe,Florida,2018,12,Dec
